Bus number,Bus type,V magnitude,V angle,Load MW,Load MVAR,Gen MW,Gen MVAR
1,2,0.955,10.67,51,27,0,0
2,0,0.971,11.22,20,9,0,0
3,0,0.968,11.56,39,10,0,0
4,2,0.998,15.28,30,12,-9,0
5,0,1.002,15.73,0,0,0,0
6,2,0.99,13,52,22,0,0
7,0,0.989,12.56,19,2,0,0
8,2,1.015,20.77,0,0,-28,0
9,0,1.043,28.02,0,0,0,0
10,2,1.05,35.61,0,0,450,0
11,0,0.985,12.72,70,23,0,0
12,2,0.99,12.2,47,10,85,0
13,0,0.968,11.35,34,16,0,0
14,0,0.984,11.5,14,1,0,0
15,2,0.97,11.23,90,30,0,0
16,0,0.984,11.91,25,10,0,0
17,0,0.995,13.74,11,3,0,0
18,2,0.973,11.53,60,34,0,0
19,2,0.963,11.05,45,25,0,0
20,0,0.958,11.93,18,3,0,0
21,0,0.959,13.52,14,8,0,0
22,0,0.97,16.08,10,5,0,0
23,0,1,21,7,3,0,0
24,2,0.992,20.89,0,0,-13,0
25,2,1.05,27.93,0,0,220,0
26,2,1.015,29.71,0,0,314,0
27,2,0.968,15.35,62,13,-9,0
28,0,0.962,13.62,17,7,0,0
29,0,0.963,12.63,24,4,0,0
30,0,0.968,18.79,0,0,0,0
31,2,0.967,12.75,43,27,7,0
32,2,0.964,14.8,59,23,0,0
33,0,0.972,10.63,23,9,0,0
34,2,0.986,11.3,59,26,0,0
35,0,0.981,10.87,33,9,0,0
36,2,0.98,10.87,31,17,0,0
37,0,0.992,11.77,0,0,0,0
38,0,0.962,16.91,0,0,0,0
39,0,0.97,8.41,27,11,0,0
40,2,0.97,7.35,20,23,-46,0
41,0,0.967,6.92,37,10,0,0
42,2,0.985,8.53,37,23,-59,0
43,0,0.978,11.28,18,7,0,0
44,0,0.985,13.82,16,8,0,0
45,0,0.987,15.67,53,22,0,0
46,2,1.005,18.49,28,10,19,0
47,0,1.017,20.73,34,0,0,0
48,0,1.021,19.93,20,11,0,0
49,2,1.025,20.94,87,30,204,0
50,0,1.001,18.9,17,4,0,0
51,0,0.967,16.28,17,8,0,0
52,0,0.957,15.32,18,5,0,0
53,0,0.946,14.35,23,11,0,0
54,2,0.955,15.26,113,32,48,0
55,2,0.952,14.97,63,22,0,0
56,2,0.954,15.16,84,18,0,0
57,0,0.971,16.36,12,3,0,0
58,0,0.959,15.51,12,3,0,0
59,2,0.985,19.37,277,113,155,0
60,0,0.993,23.15,78,3,0,0
61,2,0.995,24.04,0,0,160,0
62,2,0.998,23.43,77,14,0,0
63,0,0.969,22.75,0,0,0,0
64,0,0.984,24.52,0,0,0,0
65,2,1.005,27.65,0,0,391,0
66,2,1.05,27.48,39,18,392,0
67,0,1.02,24.84,28,7,0,0
68,0,1.003,27.55,0,0,0,0
69,3,1.035,30,0,0,516.4,0
70,2,0.984,22.58,66,20,0,0
71,0,0.987,22.15,0,0,0,0
72,2,0.98,20.98,0,0,-12,0
73,2,0.991,21.94,0,0,-6,0
74,2,0.958,21.64,68,27,0,0
75,0,0.967,22.91,47,11,0,0
76,2,0.943,21.77,68,36,0,0
77,2,1.006,26.72,61,28,0,0
78,0,1.003,26.42,71,26,0,0
79,0,1.009,26.72,39,32,0,0
80,2,1.04,28.96,130,26,477,0
81,0,0.997,28.1,0,0,0,0
82,0,0.989,27.24,54,27,0,0
83,0,0.985,28.42,20,10,0,0
84,0,0.98,30.95,11,7,0,0
85,2,0.985,32.51,24,15,0,0
86,0,0.987,31.14,21,10,0,0
87,2,1.015,31.4,0,0,4,0
88,0,0.987,35.64,48,10,0,0
89,2,1.005,39.69,0,0,607,0
90,2,0.985,33.29,78,42,-85,0
91,2,0.98,33.31,0,0,-10,0
92,2,0.993,33.8,65,10,0,0
93,0,0.987,30.79,12,7,0,0
94,0,0.991,28.64,30,16,0,0
95,0,0.981,27.67,42,31,0,0
96,0,0.993,27.51,38,15,0,0
97,0,1.011,27.88,15,9,0,0
98,0,1.024,27.4,34,8,0,0
99,2,1.01,27.04,0,0,-42,0
100,2,1.017,28.03,37,18,252,0
101,0,0.993,29.61,22,15,0,0
102,0,0.991,32.3,5,3,0,0
103,2,1.001,24.44,23,16,40,0
104,2,0.971,21.69,38,25,0,0
105,2,0.965,20.57,31,26,0,0
106,0,0.962,20.32,43,16,0,0
107,2,0.952,17.53,28,12,-22,0
108,0,0.967,19.38,2,1,0,0
109,0,0.967,18.93,8,3,0,0
110,2,0.973,18.09,39,30,0,0
111,2,0.98,19.74,0,0,36,0
112,2,0.975,14.99,25,13,-43,0
113,2,0.993,13.74,0,0,-6,0
114,0,0.96,14.46,8,3,0,0
115,0,0.96,14.46,22,7,0,0
116,2,1.005,27.12,0,0,-184,0
117,0,0.974,10.67,20,8,0,0
118,0,0.949,21.92,33,15,0,0
